node,x,y,z
academic_disciplines,1.2960406243801117,-0.0038127899169921875,0.05035863071680069
research,0.6135775446891785,0.1297738254070282,0.18318255245685577
applied_science,1.098659634590149,0.3813060596585274,0.1885799765586853
research_and_development,1.133711814880371,0.024573445320129395,0.8879428654909134
formal_science,0.7267112135887146,0.18175727874040604,0.17839175462722778
humanities,0.6588668823242188,-0.5367668867111206,-0.2910270392894745
natural_science,1.13576340675354,0.1882276013493538,0.32609742879867554
profession,0.05556180328130722,-0.29720228910446167,-0.03398936241865158
social_science,0.6748790889978409,0.024263393133878708,-0.11199666559696198
research_design,0.9484949111938477,0.19505523890256882,0.3158448487520218
research_proposal,1.0023846924304962,0.31589527428150177,0.41111499071121216
research_question,1.2383100986480713,0.9099643528461456,-0.2792617231607437
academic_writing,0.11402013897895813,-0.0021431446075439453,-0.8498445078730583
argument,0.46347540616989136,0.9148931503295898,-0.5861986875534058
citation,0.9132142066955566,0.4326429069042206,-0.48413974046707153
constructivism_(philosophy_of_science),1.3893663585186005,0.41173760406672955,-1.2088396847248077
empiricism,0.7818983793258667,0.7857220768928528,-0.6434661149978638
positivism,0.6563694477081299,0.37676408886909485,-0.45632362365722656
antipositivism,1.210253357887268,0.6324813961982727,-0.4406667649745941
postpositivism,1.7939146757125854,0.7231782078742981,-0.8018380999565125
critical_realism_(philosophy_of_the_social_sciences),1.7598647624254227,0.39793084003031254,-1.117766410112381
subtle_realism,0.46578823775053024,1.7791765332221985,-1.067716807126999
interdisciplinarity,0.9581153392791748,0.3502117395401001,-0.3782162070274353
multimethodology,1.2033672332763672,0.8650068044662476,-0.5725501179695129
qualitative_research,1.7360170483589172,1.1412858664989471,0.05274718999862671
quantitative_research,1.9121106266975403,1.0369339287281036,0.13144149631261826
methodology,0.7394343018531799,0.7584832310676575,-0.14035393297672272
action_research,0.9323929250240326,0.42526355385780334,0.09358013421297073
art_methodology,0.7326312316581607,0.383297860622406,-0.5160764306783676
critical_theory,0.697870709002018,1.3106966316699982,-0.5162192285060883
feminism,0.31883692741394043,0.4371238350868225,-0.8246809840202332
grounded_theory,0.7031398490071297,1.1907955706119537,-0.1811916083097458
hermeneutics,0.6576027870178223,0.3665320575237274,-0.658038854598999
historiography,0.40450340509414673,-0.07750238478183746,-0.08921104669570923
narrative_inquiry,0.44964563846588135,0.22709836065769196,-0.40865107625722885
phenomenology_(sociology),1.2761845588684082,0.13707557320594788,-1.337840974330902
pragmatism,0.1617739498615265,0.49661985039711,-0.5538123846054077
scientific_method,1.5655218958854675,1.3383513987064362,0.0844038836658001
case_study,0.8563266694545746,0.7850028052926064,0.1265796571969986
content_analysis,1.8166521787643433,1.95124089717865,-0.5443757325410843
descriptive_statistics,2.1898248195648193,0.6069183349609375,-0.6437422931194305
discourse_analysis,1.0659206211566925,1.4921854138374329,-0.3202934265136719
ethnography,0.4479652941226959,-0.32720696926116943,-0.011193938553333282
experiment,0.27069440484046936,0.6584283113479614,-0.15003599226474762
field_experiment,0.6765628159046173,0.4433145970106125,0.15809862315654755
social_experiment,0.5126884430646896,0.7203208841383457,0.015358775854110718
quasi-experiment,1.1648190021514893,0.830397367477417,-0.9254872798919678
field_research,1.0194459557533264,-0.08533988893032074,0.49131716787815094
historical_method,1.0049480199813843,0.8383151143789291,0.3161955438554287
statistical_inference,2.324555277824402,1.21892861276865,-0.05001664161682129
interview,-0.3501906991004944,-0.388159841299057,-1.2041033506393433
cartography,0.60602205991745,-0.049744728952646255,-0.020136909559369087
cultural_mapping,1.4711142182350159,0.4270709604024887,0.7024526745080948
phenomenography,0.7193647027015686,0.8375850915908813,-0.6201053261756897
secondary_research,1.5377268195152283,-0.01043817400932312,0.7242075949907303
bibliometrics,1.0545498132705688,0.6559359431266785,-0.3896603286266327
literature_review,0.5927094519138336,0.14552119746804237,-0.9408433437347412
meta-analysis,1.5596290826797485,0.23193103075027466,-0.7994276881217957
scoping_review,1.2522605061531067,0.9782648682594299,-0.3789590299129486
systematic_review,1.1867152452468872,0.851897120475769,-0.47783058881759644
scientific_modelling,1.3760523200035095,0.6672272682189941,-0.012610897421836853
simulation,0.96833735704422,0.6699901819229126,-0.14362531900405884
survey_(human_research),1.7249621450901031,0.5556558668613434,0.8231424614787102
field_of_study,0.8149347007274628,-0.09862098842859268,0.5862061977386475
knowledge,0.3509501814842224,0.6764097213745117,-0.012978642247617245
education,0.4828566908836365,-0.725678026676178,0.41117042303085327
higher_education,1.3830565810203552,-0.3673839271068573,1.2108675837516785
faculty_(division),1.4099522829055786,-2.0323755741119385,0.6060022264719009
learned_society,-0.23784762993454933,-0.43574807047843933,0.14770042896270752
academic_journal,0.7306579053401947,-0.41474029421806335,-0.38778334110975266
performing_arts,0.2500618062913418,-1.2232395112514496,-0.5589868128299713
music,0.002196153160184622,-0.3965783417224884,-0.8629860877990723
accompaniment,0.23469030857086182,-0.03500368073582649,-0.6762496829032898
chamber_music,0.3311088583432138,-0.8731498122215271,-0.5895046293735504
church_music,0.3645703694783151,-1.3116619884967804,-0.3072119355201721
conducting,0.1267649084329605,-0.24491430819034576,0.3374824821949005
choir,0.2311031073331833,-1.0264878273010254,-0.44047853350639343
orchestra,0.3263777494430542,-1.0998766422271729,-0.8481922149658203
concert_band,0.26132723689079285,-1.0546509623527527,-1.3988826274871826
early_music,-0.02574297646060586,-0.8379849791526794,-0.4440876841545105
jazz,0.22135326266288757,-0.6991007924079895,-1.0766369104385376
musical_composition,0.3395364135503769,-0.08349290490150452,-1.0521024763584137
music_education,0.4850528440438211,-1.1222563683986664,-0.451815664768219
music_history,0.1984894028864801,-0.6670286357402802,-0.8672896339558065
musicology,0.6786182522773743,-0.5265958905220032,-0.9386547803878784
systematic_musicology,1.5884827971458435,0.1424705982208252,-0.7667899131774902
ethnomusicology,0.576293408870697,-0.5875321626663208,-0.8077550530433655
music_theory,0.6189277372322977,0.46348872780799866,-1.2198925018310547
organology,1.1466491222381592,0.2662180960178375,-0.5348637104034424
organ_(music),0.3612648448906839,-0.5957070738077164,-1.079456239938736
keyboard_instrument,1.1357545256614685,0.5738762319087982,-1.1023395173251629
piano,0.35154804587364197,-0.7593464255332947,-1.2592451572418213
string_instrument,1.002051055431366,0.5346409976482391,-0.6863089315593243
harp,0.2492157369852066,-0.5817474126815796,-0.7552452087402344
oud,0.8384405970573425,-0.8934137225151062,-0.475416898727417
guitar,0.46625709533691406,-0.6160502433776855,-1.5161205530166626
guitars,0.603125810623169,-0.32263898849487305,-1.3259937763214111
singing,-0.1607244610786438,-0.4564060568809509,-0.8347702026367188
woodwind_instrument,1.218936264514923,-0.26667025685310364,-0.7754883877933025
brass_instrument,0.8046573102474213,-0.11608532071113586,-0.08141429349780083
percussion_instrument,1.1602246165275574,-0.4391358196735382,-1.174774657934904
sound_recording_and_reproduction,1.2955410778522491,0.8336417376995087,-1.1471178233623505
dance,0.06001649796962738,-0.3946413993835449,-0.7355148196220398
choreography,-0.05120173841714859,-0.4256984293460846,-1.1567389965057373
dance_notation,1.3414273113012314,0.4897553324699402,-1.3640506267547607
ethnochoreology,0.9984610676765442,0.000827335228677839,-0.26082348823547363
history_of_dance,0.25630974769592285,-0.6650916934013367,-0.739818365778774
television,0.14824025332927704,-0.6773721575737,-0.772352933883667
television_broadcasting,0.6213644593954086,-1.6192142367362976,-0.8225730806589127
television_studies,0.6765521019697189,-0.8190996497869492,-0.5981387346982956
theatre,0.012440131977200508,-0.9624022841453552,-0.3809538781642914
acting,-0.12289316207170486,-0.24993424117565155,-0.36851292848587036
theatre_director,-0.19500058703124523,-2.15779846906662,-0.9441899955272675
dramaturgy,0.20373037457466125,-0.0920981615781784,-0.947036623954773
history_of_theater,0.18892443599179387,-1.06618070602417,-0.349502535071224
musical_theatre,-0.03644266538321972,-1.2411909103393555,-1.2293817698955536
playwrighting,-0.08115385472774506,-0.6388413906097412,-0.7164677381515503
puppetry,0.7911064624786377,0.6198542714118958,-0.9305045008659363
scenography,0.4930201768875122,-0.5138130784034729,-0.7633115649223328
scenic_design,1.0848386883735657,-0.7837050929665565,0.7409650087356567
ventriloquism,0.1011677160859108,0.4126654863357544,-1.2948260307312012
film_studies,0.44870487600564957,-0.5103036314249039,-0.8097874969244003
film,-0.07960697263479233,-0.36857613921165466,-0.9840016961097717
animation,0.48531606793403625,0.19836069643497467,-0.8952528238296509
