koId,name,x,y,z
1,scientific method,1.5655218958854675,1.3383513987064362,0.0844038836658001
2,scientist,0.00562612060457468,-0.28186264634132385,-0.7015776038169861
3,social science,0.6748790889978409,0.024263393133878708,-0.11199666559696198
4,sociology of scientific knowledge,1.6322076916694641,0.5856125354766846,-0.4057457586750388
5,skepticism,0.12754003703594208,0.7333672642707825,-0.4616575539112091
6,scientism,0.6274916529655457,1.0287067890167236,-0.6738290190696716
7,social sciences,1.2891415506601334,-0.5817415677011013,0.10585182905197144
8,scientific revolution,0.6789289824664593,-0.10832324624061584,0.34946461021900177
9,sociology of knowledge,0.9130440354347229,0.2861456573009491,-0.5296263387426734
10,scientific theory,1.3358952403068542,1.1595339477062225,-0.23302583396434784
11,statistical inference,2.324555277824402,1.21892861276865,-0.05001664161682129
12,scientific modeling,1.4655617475509644,0.7928588688373566,-0.35234110057353973
13,thought,0.17810101807117462,0.564765214920044,-0.0961955338716507
14,scientific modelling,1.3760523200035095,0.6672272682189941,-0.012610897421836853
15,research,0.6135775446891785,0.1297738254070282,0.18318255245685577
16,scientific,0.7191636562347412,0.2994668781757355,0.12388058006763458
17,social research,0.8555715829133987,0.1916663981974125,0.3485773205757141
18,science,0.4328850507736206,-0.037629179656505585,-0.2773914337158203
19,survey (human research),1.7249621450901031,0.5556558668613434,0.8231424614787102
20,simulation,0.96833735704422,0.6699901819229126,-0.14362531900405884
21,systematic review,1.1867152452468872,0.851897120475769,-0.47783058881759644
22,scoping review,1.2522605061531067,0.9782648682594299,-0.3789590299129486
23,secondary research,1.5377268195152283,-0.01043817400932312,0.7242075949907303
24,social experiment,0.5126884430646896,0.7203208841383457,0.015358775854110718
25,subtle realism,0.46578823775053024,1.7791765332221985,-1.067716807126999
26,research design,0.9484949111938477,0.19505523890256882,0.3158448487520218
27,research question,1.2383100986480713,0.9099643528461456,-0.2792617231607437
28,research proposal,1.0023846924304962,0.31589527428150177,0.41111499071121216
29,research and development,1.133711814880371,0.024573445320129395,0.8879428654909134
30,semiotics,0.6143025755882263,0.2763863801956177,-0.8555437326431274
31,scientific community,1.0213952958583832,-0.0013037025928497314,0.7889024168252945
32,technology,0.6696884632110596,0.09080857783555984,0.3045107126235962
33,science fiction,0.664835199713707,-0.02746401634067297,-1.246817171573639
34,the shroud conspiracy,0.19389042258262634,0.7512896209955215,-0.5846849977970123
35,science and technology in iran,2.1928926706314087,-0.4200628846883774,0.4160698652267456
36,scientific journal,1.168993353843689,0.10750852525234222,-0.13911013305187225
37,software engineering,1.8245592713356018,0.2020585536956787,-0.2857333868741989
38,template talk:science,5.716384291648865,-1.1578356549143791,-5.23486465215683
39,science communication,1.0160860419273376,0.37224552780389786,0.04553517699241638
